Lat,Lon,Count,Name
-33.773824,151.112650,50,Macquarie University & Australian Astronomical Observatory
32.780208,-105.819749,37,Apache Point Observatory-New Mexico State University
55.922879,-3.188129,15,Royal Observatory Edinburgh
40.331755,-74.668064,85,Institute for Advanced Study
29.564646,106.466125,1,Institute of Physics Universidad de Gua
32.232968,-110.948412,190,Steward Observatory University of Arizo
42.360750,-71.093125,90,The Kavli Institute for Astrophysics and
34.068921,-118.445181,30,University of California Los Angeles
52.941649,-1.191360,23,UNIVERSITY OF NOTTINGHAM School of Physi
48.146020,11.606740,11,University Observatory Munich
40.810057,-73.962006,64,Columbia University Astrophysics Laboratory 
59.362765,18.059268,57,Stockholm University Astrobiology Centre
48.583233,7.767844,7,Centre de Donnees astronomiques de Stras
47.564732,7.578729,4,Physics Department University of Basel
42.359139,-83.066546,3,Wayne State University
50.729950,7.069310,103,Argelander-Institute for Astronomy
-25.889999,27.685278,5,Hartebeesthoek Radio Astronomy Observatory
57.688368,11.977758,12,Chalmers University of Technology
42.317731,-83.231702,1,University of Michigan-Dearborn
51.540812,9.937401,10,Hamburg Observatory or University of Goettingen
38.912020,-76.847705,2,University of Maryland University Colleg
36.302537,-82.370193,5,East Tennesee State University
52.160603,4.486051,133,Various Universities in the Netherlands
48.259583,11.670955,214,European Organisation for Astronomical R
42.381461,-71.128166,338,Smithsonian Astrophysical Observatory
45.644716,13.774227,4,INAF/Osservatorio Astronomico di Trieste
19.096693,74.049576,11,National Centre for Radio Astrophysics -
48.845553,2.378223,4,AGENCE NATIONAL DE LA RECHERCHE (FRANCE)
41.379779,-83.630083,4,Bowling Green State University
42.730172,-73.678803,9,New York Center for Astrobiology Rensselaer Polytechnic Institute
45.194282,5.761604,24,Laboratoire d'Astrophysique de Grenoble 
38.035560,-78.514857,44,Department of Astronomy University of V
45.447680,-75.618749,18,IRAP
52.403978,13.102028,81,Leibniz Institute for Astrophysics Potsdam (AIP) and University of Potsdam
40.798213,-77.859908,106,The Pennsylvania State University
38.538232,-121.761713,30,UC Davis
28.700940,77.272105,1,Division of Galaxy and CosmologyNationa
28.474623,-16.308093,93,INSTITUTO DE ASTROFISICA DE CANARIAS
39.952110,-75.189798,39,Dept. of Physics and Astronomy Universi
34.069620,-106.907146,183,National Radio Astronomy Observatory - J
41.686047,-73.897343,3,Vassar College
41.826772,-71.402548,7,Brown University
48.834980,2.335289,56,Institut d'Astrophysique de Paris - UPMC
37.871899,-122.258540,182,UNIVERSITY OF CALIFORNIA BERKELEY
50.925268,11.582920,2,Astrophysical Institute University Jena
54.346055,10.114702,3,University of Kiel Germany
38.986918,-76.942554,60,University of Maryland College Park
41.556610,-72.656904,11,Wesleyan University
50.797601,-1.098163,30,Institute of Cosmology & Gravitation
52.621139,-1.124632,27,University of Leicester UK
53.235253,-2.307230,28,SKA Organisation
40.823648,-73.238649,2,Renaissance Technologies LLC
30.847787,-83.289567,1,Valdosta State University
14.077374,101.857909,2,SAO
51.046562,3.727918,7,Universiteit Gent
48.733508,-122.487302,4,Western Washington University
-32.998596,148.262437,29,Australia Telescope National Facility - 
51.445666,7.261609,5,Ruhr-University Bochum
31.868931,-116.665935,1,INSTITUTO DE ASTRONOMIA OBSERVATORIO AS
33.973706,-117.328064,27,University of California Riverside
52.213020,21.067812,27,Nicolaus Copernicus Astronomical Center
31.794558,35.241401,12,The Hebrew University of Jerusalem
32.125185,118.960047,1,school of astronomy and space science nanjing university
43.784127,-79.186846,4,University of Toronto at Scarborough
39.414546,-81.449107,1,Marietta Colelge
30.284918,-97.734057,37,University of Texas as Austin
33.498344,-80.850149,1,South Carolina State University
37.408866,-122.064426,56,RIACS at NASA Ames Research Center
38.831554,-77.312089,10,George Mason University
55.697987,12.562989,40,NIELS BOHR INSTITUTE (DARK COSMOLOGY CEN
50.877954,4.700295,4,Catholic University of Leuven
39.999273,116.310699,38,The Kavli Institute for Astronomy and As
38.903018,-77.038134,58,American Astronomical Society
43.930415,5.713620,1,Haute Provence Observatory
37.868435,-122.298021,3,University of California Berkeley - Spa
21.307192,-157.811614,121,University of Hawaii Institute for Astronomy
48.707112,2.179344,15,Laboratoire de physique th
34.724057,-92.338887,3,University of Arkansas at Little Rock
46.818661,-92.083567,1,University of Minnesota-Duluth
56.168138,10.203012,3,The Stellar Astrophysics Centre at the Department of Physics and Astronomy Aarhus University
41.629293,-71.006156,2,University of Massachusetts Dartmouth
40.006652,-75.305318,6,Haverford College
37.231419,-118.294081,1,Owens Valley Radio Observatory
43.660584,-79.398515,101,Canadian Institute for Theoretical Astrophysics
50.727643,7.098186,5,Sternwarte Bonn
45.471580,9.188919,8,INAF - Osservatorio Astronomico di Brera
-35.277700,149.118527,91,The Australian National University (ANU)
39.393796,-76.609189,2,Towson University
48.728845,2.148814,60,CEA/Saclay
42.283734,-85.610251,2,Western Michigan University
37.596195,127.052544,2,Kyung Hee University Korea
40.031528,-105.245847,6,High Altitude Observatory NCAR
42.701848,-84.482172,31,Michigan State University / Joint Institute for Nuclear Astrophysics
1.307096,103.772285,2,Yale-NUS College
59.938584,10.717949,36,Institute of Theoretical Astrophysics
38.954344,-95.255796,7,University of Kansas
-23.023434,-67.753833,23,Joint ALMA Observatory 
34.258361,-116.921254,3,BBSO/NJIT
35.998587,-79.920502,1,Guilford Technical Community College
48.847604,2.263993,1,Centre National de la Recherche Scientif
51.524067,-0.040375,15,Queen Mary University of London
34.137658,-118.125269,315,California Institute of Technology/Infrared Processing & Analysis Center
38.648789,-90.310796,2,Washington University in St. Louis
38.829930,-77.119139,2,Institute for Defense Analyses
49.388030,8.709520,3,International Max Planck Reserach School Heidelberg
52.354460,4.955891,43,Astronomical Institute Anton Pannekoek University of Amsterdam
39.163100,-76.899428,2,The Johns Hopkins Universtiy Applied Phy
49.401788,8.727963,125,MAX PLANCK-INSTITUTE FOR ASTRONOMY
-33.917347,151.231268,13,The University of New South Wales
25.756576,-80.373949,2,Florida International University
