Date,Quarter,Rate
2003/01,1,2.9875
2003/04,2,4.1375
2003/07,3,4.0700
2003/10,4,4.2717
2004/01,1,4.3314
2004/04,2,5.7600
2004/07,3,5.7586
2004/10,4,5.8871
2005/01,1,5.7000
2005/04,2,6.8414
2005/07,3,6.3879
2005/10,4,5.7293
2006/01,1,5.1921
2006/04,2,6.0443
2006/07,3,5.6579
2006/10,4,5.1179
2007/01,1,4.7679
2007/04,2,5.3929
2007/07,3,4.7043
2007/10,4,4.2900
2008/01,1,4.1514
2008/04,2,4.0350
2008/07,3,3.2007
2008/10,4,3.0357
2009/01,1,3.1293
2009/04,2,4.2586
2009/07,3,4.7329
2009/10,4,3.9321
2010/01,1,3.9550
2010/04,2,4.9043
2010/07,3,3.6993
2010/10,4,2.7743
2011/01,1,2.8186
2011/04,2,3.3743
2011/07,3,2.4657
2011/10,4,2.0707
2012/01,1,1.8850
2012/04,2,3.0757
2012/07,3,2.6086
2012/10,4,2.4057
2013/01,1,1.7507
2013/04,2,2.7357
2013/07,3,2.8857
2013/10,4,2.0814
2014/01,1,1.9565
2014/04,2,3.0638
2014/07,3,2.4613
2014/10,4,2.0906
2015/01,1,1.9338
2015/04,2,2.8694
2015/07,3,2.7569
2015/10,4,2.0863
