claims,place,lat,lon
8709,John F. Kennedy International,40.6429479000000,-73.7793732748521
6765,Los Angeles International Airport,33.9421134500000,-118.4070572902490
6582,Chicago O'Hare International Airport,41.9775243500000,-87.9092349550148
6554,Newark International Airport,40.6890640500000,-74.1772547503535
6126,Miami International Airport,25.7949789000000,-80.2867233109540
6022,Orlando International Airport,28.4129035500000,-81.3094429975275
5509,Hartsfield-Jackson Atlanta International Airport,33.6377987500000,-84.4292710858567
5152,Seattle-Tacoma International,47.4475673000000,-122.3080657736810
4841,Phoenix Sky Harbor International,33.4321499000000,-112.0105547497040
4802,McCarran International,36.0860828000000,-115.1478460211850
