TotalClaims,TotalPassengers,AvgClaims,Name,Code,Lat,Lon
102,9822588,1.03842e-05,Pittsburgh International Airport,PIT,40.4942228500000,-80.2380999464778
67,8271632,8.09997e-06,Indianapolis International,IND,39.7182627500000,-86.2912088268419
471,32211439,1.46221e-05,Philadelphia International Airport,PHL,39.8753535500000,-75.2348629934984
45,12000997,3.74969e-06,Kansas City International,MCI,39.3022005500000,-94.7208982134181
372,25026267,1.48644e-05,LaGuardia ,LGA,40.7755013500000,-73.8730603792763
95,9876524,9.61877e-06,Nashville International,BNA,36.1195898500000,-86.6830869329184
830,47716941,1.73942e-05,John F. Kennedy International,JFK,40.6429479000000,-73.7793732748521
395,24525487,1.61057e-05,Washington Dulles International,IAD,38.9522097000000,-77.4534241937754
214,21498091,9.95437e-06,Baltimore/Washington Intl Thurgood Marshall,BWI,39.1745257500000,-76.6710482845420
596,89379287,6.66821e-06,Hartsfield-Jackson Atlanta International Airport,ATL,33.6377987500000,-84.4292710858567
388,49863352,7.78127e-06,Denver International Airport ,DEN,39.8501877000000,-104.6753276250530
65,8885391,7.31538e-06,Austin-Bergstrom International Airport,AUS,30.2021255500000,-97.6681713948011
589,33740416,1.74568e-05,Miami International Airport,MIA,25.7949789000000,-80.2867233109540
608,76177855,7.98132e-06,Chicago O'Hare International Airport,ORD,41.9781310000000,-87.9095288486136
648,46961011,1.37987e-05,McCarran International,LAS,36.0860828000000,-115.1478460211850
126,22045333,5.7155e-06,Salt Lake City International Airport,SLC,40.7900661000000,-111.9798983618560
115,8029204,1.43227e-05,Southwest Florida International,RSW,26.5329497500000,-81.7588055261221
101,15384557,6.56502e-06,Lambert St. Louis International,STL,38.7496025500000,-90.3702193368197
185,14654222,1.26243e-05,Portland International,PDX,45.5871326000000,-122.5927797493920
138,9979699,1.38281e-05,John Wayne,SNA,33.6742056000000,-117.8680147077050
584,36480416,1.60086e-05,Orlando International Airport,MCO,28.4129035500000,-81.3094429975275
161,18670924,8.62303e-06,Ronald Reagan Washington National Airport,DCA,38.8512154000000,-77.0396929556152
300,42998040,6.97706e-06,Houston - George Bush Intercontinental Airport,IAH,29.9839236000000,-95.3322022535375
272,35157322,7.73665e-06,Minneapolis/ St.Paul International Airport,MSP,44.8780190500000,-93.2209279537696
192,14846832,1.29321e-05,Metropolitan Oakland International,OAK,37.7221623000000,-122.2170743333680
448,59786476,7.49333e-06,Dallas-Fort Worth International Airport ,DFW,32.8965194500000,-97.0465219537124
95,10658389,8.91317e-06,Norman Y Mineta San Jose International,SJC,37.3631211500000,-121.9285925389970
334,19154957,1.74367e-05,Tampa International,TPA,27.9801058000000,-82.5346605000000
142,10748982,1.32106e-05,Sacramento International Airport,SMF,38.6872234500000,-121.5903701806320
82,8033314,1.02075e-05,San Antonio International,SAT,29.5334021000000,-98.4692143304692
77,10219138,7.53488e-06,Raleigh-Durham International,RDU,35.8803614500000,-78.7872381171651
73,8819521,8.27709e-06,William P. Hobby,HOU,29.6471490500000,-95.2769259863459
373,18336761,2.03417e-05,San Diego International,SAN,32.7333607500000,-117.1934633660770
490,42184515,1.16156e-05,Phoenix Sky Harbor International,PHX,33.4321499000000,-112.0105547497040
108,35792707,3.01737e-06,San Francisco International,SFO,37.6224520000000,-122.3840715078140
289,28102455,1.02838e-05,Boston (Logan) International Airport ,BOS,42.3630236000000,-71.0134078867064
94,11459390,8.20288e-06,Cleveland Hopkins International,CLE,41.4066185500000,-81.8512020435841
408,31296628,1.30365e-05,Seattle-Tacoma International,SEA,47.4475673000000,-122.3080657736810
157,33165688,4.73381e-06,Charlotte/Douglas International Airport,CLT,35.2107414500000,-80.9460210318358
82,15736220,5.21091e-06,Cincinnati/Northern Kentucky International,CVG,39.0503326000000,-84.6651260159433
343,35983478,9.53215e-06,Detroit Metropolitan Wayne County Airport,DTW,42.2167479000000,-83.3531140628688
177,19378855,9.13367e-06,Midway International Airport,MDW,41.7854437500000,-87.7508261040161
359,22681903,1.58276e-05,Ft. Lauderdale-Hollywood International,FLL,26.0720170000000,-80.1509966313521
684,61896075,1.10508e-05,Los Angeles International Airport ,LAX,33.9421134500000,-118.4070572902490
739,36367240,2.03205e-05,Newark International Airport,EWR,40.6890640500000,-74.1772547503535
86,11290477,7.61704e-06,Memphis International Airport,MEM,35.0462564500000,-89.9768945651318
