# stars45degtime,stars45degm1,stars45degm2,stars45degm3,stars45degm4,stars90degtime,stars90degm1,stars90degm2,stars90degm3,stars90degm4,stars0degtime,stars0degm1,stars0degm2,stars0degm3,stars0degm4,stars0deg_retrotime,stars0deg_retrom1,stars0deg_retrom2,stars0deg_retrom3,stars0deg_retrom4
   0.00000,    0.04860,    0.22264,    0.03248,    0.12127,    0.00000,    0.04860,    0.22264,    0.03250,    0.12126,    0.00000,    0.04860,    0.22264,    0.03250,    0.12126,    0.00000,    0.04860,    0.22264,    0.03248,    0.12127
   0.02500,    0.04801,    0.21766,    0.03473,    0.12865,    0.02500,    0.04864,    0.21777,    0.03484,    0.12865,    0.02500,    0.04917,    0.21794,    0.03436,    0.12897,    0.02500,    0.04882,    0.21779,    0.03470,    0.12876
   0.05000,    0.05005,    0.21133,    0.03168,    0.12585,    0.05000,    0.04990,    0.21104,    0.03088,    0.12588,    0.05000,    0.04955,    0.21080,    0.03154,    0.12561,    0.05000,    0.04967,    0.21071,    0.03068,    0.12578
   0.07500,    0.04999,    0.20372,    0.03654,    0.11999,    0.07500,    0.04790,    0.20299,    0.03620,    0.11952,    0.07500,    0.04798,    0.20263,    0.03580,    0.11956,    0.07500,    0.04852,    0.20222,    0.03632,    0.11913
   0.10000,    0.04249,    0.19876,    0.04659,    0.10969,    0.10000,    0.04319,    0.19776,    0.04608,    0.10903,    0.10000,    0.04037,    0.19715,    0.04387,    0.11091,    0.10000,    0.04186,    0.19738,    0.04410,    0.11090
   0.12500,    0.03727,    0.19947,    0.04521,    0.09443,    0.12500,    0.03593,    0.19844,    0.04253,    0.09396,    0.12500,    0.03450,    0.19728,    0.04107,    0.09688,    0.12500,    0.03418,    0.19899,    0.04109,    0.09654
   0.15000,    0.02958,    0.19902,    0.03595,    0.07886,    0.15000,    0.03109,    0.19732,    0.03940,    0.07602,    0.15000,    0.02748,    0.20069,    0.03589,    0.08251,    0.15000,    0.02766,    0.20336,    0.03610,    0.07978
   0.17500,    0.02794,    0.19866,    0.03474,    0.06886,    0.17500,    0.05985,    0.17929,    0.05097,    0.05749,    0.17500,    0.06061,    0.21533,    0.06112,    0.07629,    0.17500,    0.04000,    0.19671,    0.04160,    0.06372
   0.20000,    0.13913,    0.18193,    0.08691,    0.06409,    0.20000,    0.27489,    0.20555,    0.12313,    0.08086,    0.20000,    0.24900,    0.28026,    0.16848,    0.09672,    0.20000,    0.17815,    0.21887,    0.12570,    0.07868
   0.22500,    0.36483,    0.27769,    0.16627,    0.08242,    0.22500,    0.44324,    0.33529,    0.24594,    0.21821,    0.22500,    0.32633,    0.26202,    0.09329,    0.08714,    0.22500,    0.39284,    0.34858,    0.24564,    0.18340
   0.25000,    0.37272,    0.33667,    0.27932,    0.18878,    0.25000,    0.53910,    0.51373,    0.46571,    0.33359,    0.25000,    0.33313,    0.24840,    0.13927,    0.12948,    0.25000,    0.50926,    0.41449,    0.31072,    0.23874
   0.27500,    0.34905,    0.40108,    0.26397,    0.15534,    0.27500,    0.63080,    0.53109,    0.38583,    0.35873,    0.27500,    0.40398,    0.16449,    0.14721,    0.08480,    0.27500,    0.51532,    0.34410,    0.28448,    0.25924
   0.30000,    0.44100,    0.31915,    0.17781,    0.16134,    0.30000,    0.79949,    0.55502,    0.40321,    0.26208,    0.30000,    0.42055,    0.07517,    0.13685,    0.06646,    0.30000,    0.42536,    0.20770,    0.24252,    0.21019
   0.32500,    0.52874,    0.11601,    0.19505,    0.09876,    0.32500,    0.85953,    0.59922,    0.41897,    0.36892,    0.32500,    0.36534,    0.11222,    0.21814,    0.04471,    0.32500,    0.32558,    0.06572,    0.20474,    0.16572
