# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   0.00000,    0.02288,    0.14398,    0.00000,    0.02297,    0.14413,    0.00000,    0.02297,    0.14413,    0.00000,    0.02297,    0.14391
   0.02500,    0.00479,    0.14510,    0.02500,    0.00683,    0.14695,    0.02500,    0.00873,    0.14701,    0.02500,    0.00596,    0.14864
   0.05000,    0.01174,    0.11566,    0.05000,    0.02168,    0.11197,    0.05000,    0.01241,    0.11373,    0.05000,    0.01053,    0.11042
   0.07500,    0.00994,    0.14235,    0.07500,    0.01239,    0.12662,    0.07500,    0.01249,    0.12348,    0.07500,    0.00725,    0.13056
   0.10000,    0.00543,    0.15135,    0.10000,    0.00482,    0.15529,    0.10000,    0.01178,    0.13478,    0.10000,    0.00715,    0.14839
   0.12500,    0.02087,    0.11426,    0.12500,    0.01033,    0.11040,    0.12500,    0.00625,    0.09928,    0.12500,    0.01566,    0.09774
   0.15000,    0.02341,    0.07989,    0.15000,    0.00394,    0.11384,    0.15000,    0.00386,    0.07283,    0.15000,    0.01773,    0.08114
   0.17500,    0.01344,    0.15012,    0.17500,    0.00789,    0.31153,    0.17500,    0.01237,    0.29854,    0.17500,    0.00565,    0.19942
   0.20000,    0.01235,    0.68374,    0.20000,    0.01330,    1.01580,    0.20000,    0.01249,    0.87076,    0.20000,    0.01617,    0.74523
   0.22500,    0.01041,    1.29741,    0.22500,    0.01327,    1.80679,    0.22500,    0.00484,    1.24458,    0.22500,    0.00913,    1.44258
   0.25000,    0.01387,    1.65718,    0.25000,    0.01997,    2.31924,    0.25000,    0.01759,    1.38934,    0.25000,    0.01088,    1.80550
   0.27500,    0.03574,    1.58554,    0.27500,    0.04105,    2.57161,    0.27500,    0.01676,    1.41171,    0.27500,    0.04943,    1.85434
   0.30000,    0.01819,    1.50721,    0.30000,    0.00629,    2.67809,    0.30000,    0.02483,    1.29645,    0.30000,    0.02387,    1.63745
   0.32500,    0.01262,    1.40083,    0.32500,    0.02566,    2.61382,    0.32500,    0.02183,    1.06040,    0.32500,    0.02247,    1.31643
   0.35000,    0.01260,    1.32885,    0.35000,    0.02783,    2.52249,    0.35000,    0.00276,    0.90292,    0.35000,    0.01618,    0.88489
   0.37500,    0.01037,    1.26072,    0.37500,    0.01272,    2.45364,    0.37500,    0.00813,    0.70357,    0.37500,    0.02980,    0.49818
   0.40000,    0.02367,    1.02332,    0.40000,    0.03430,    2.31292,    0.40000,    0.00528,    0.44383,    0.40000,    0.01052,    0.27576
   0.42500,    0.02247,    0.63114,    0.42500,    0.01984,    2.06759,    0.42500,    0.01096,    0.16560,    0.42500,    0.01991,    0.41690
   0.45000,    0.00757,    0.32199,    0.45000,    0.01874,    1.69258,    0.45000,    0.01726,    0.30064,    0.45000,    0.01970,    0.68875
   0.47500,    0.01796,    0.23574,    0.47500,    0.00261,    1.17433,    0.47500,    0.00262,    0.66407,    0.47500,    0.01923,    0.94039
   0.50000,    0.01327,    0.39424,    0.50000,    0.00696,    0.66756,    0.50000,    0.02101,    0.92420,    0.50000,    0.01384,    1.05779
   0.52500,    0.00978,    0.48925,    0.52500,    0.01728,    0.20139,    0.52500,    0.04203,    1.05354,    0.52500,    0.00477,    1.06713
   0.55000,    0.01589,    0.57307,    0.55000,    0.00441,    0.22122,    0.55000,    0.01158,    1.09106,    0.55000,    0.00334,    1.05320
   0.57500,    0.01593,    0.63998,    0.57500,    0.01406,    0.55576,    0.57500,    0.01441,    1.12317,    0.57500,    0.00908,    1.01873
   0.60000,    0.00694,    0.67637,    0.60000,    0.00782,    0.87321,    0.60000,    0.01092,    1.08260,    0.60000,    0.01373,    0.97010
   0.62500,    0.03301,    0.64884,    0.62500,    0.01752,    1.14419,    0.62500,    0.00457,    1.02009,    0.62500,    0.02465,    0.88562
   0.65000,    0.01055,    0.59206,    0.65000,    0.02756,    1.36957,    0.65000,    0.00940,    0.89054,    0.65000,    0.01163,    0.80160
   0.67500,    0.00109,    0.55241,    0.67500,    0.00879,    1.61814,    0.67500,    0.02256,    0.72061,    0.67500,    0.02445,    0.72702
   0.70000,    0.01385,    0.45969,    0.70000,    0.02400,    1.84297,    0.70000,    0.01508,    0.58165,    0.70000,    0.00158,    0.71182
   0.72500,    0.01268,    0.40775,    0.72500,    0.01499,    1.92863,    0.72500,    0.00716,    0.49178,    0.72500,    0.00305,    0.62156
   0.75000,    0.01822,    0.32831,    0.75000,    0.00284,    1.95636,    0.75000,    0.01067,    0.43885,    0.75000,    0.00977,    0.49476
   0.77500,    0.00319,    0.29103,    0.77500,    0.00527,    1.92076,    0.77500,    0.02926,    0.39862,    0.77500,    0.01253,    0.34472
   0.80000,    0.02318,    0.27070,    0.80000,    0.01481,    1.76348,    0.80000,    0.00975,    0.32604,    0.80000,    0.00681,    0.21785
   0.82500,    0.02556,    0.25518,    0.82500,    0.01582,    1.52695,    0.82500,    0.02046,    0.25679,    0.82500,    0.00341,    0.05148
   0.85000,    0.02190,    0.21014,    0.85000,    0.01908,    1.27091,    0.85000,    0.01212,    0.23293,    0.85000,    0.00607,    0.10648
   0.87500,    0.00908,    0.18314,    0.87500,    0.01543,    1.00451,    0.87500,    0.02127,    0.31676,    0.87500,    0.00375,    0.21590
   0.90000,    0.00338,    0.19817,    0.90000,    0.00312,    0.72046,    0.90000,    0.01559,    0.39409,    0.90000,    0.00510,    0.33006
   0.92500,    0.01307,    0.21281,    0.92500,    0.00788,    0.46483,    0.92500,    0.01009,    0.49392,    0.92500,    0.01732,    0.46445
   0.95000,    0.01383,    0.23994,    0.95000,    0.01750,    0.29715,    0.95000,    0.00182,    0.53660,    0.95000,    0.01827,    0.60559
   0.97500,    0.00535,    0.26614,    0.97500,    0.00763,    0.35557,    0.97500,    0.00978,    0.59472,    0.97500,    0.01359,    0.72219
   1.00000,    0.00861,    0.29633,    1.00000,    0.03618,    0.52374,    1.00000,    0.00918,    0.62727,    1.00000,    0.01584,    0.83587
   1.02500,    0.00565,    0.38149,    1.02500,    0.00448,    0.70854,    1.02500,    0.00326,    0.59612,    1.02500,    0.00355,    0.87760
   1.05000,    0.00460,    0.46873,    1.05000,    0.02131,    0.85594,    1.05000,    0.01186,    0.54332,    1.05000,    0.02049,    0.89213
   1.07500,    0.02629,    0.51240,    1.07500,    0.01555,    0.95037,    1.07500,    0.00592,    0.47776,    1.07500,    0.00490,    0.86954
   1.10000,    0.00250,    0.50599,    1.10000,    0.00541,    1.02380,    1.10000,    0.01905,    0.41297,    1.10000,    0.00228,    0.78472
   1.12500,    0.00738,    0.47207,    1.12500,    0.02004,    1.08666,    1.12500,    0.01242,    0.39218,    1.12500,    0.00649,    0.67973
   1.15000,    0.00486,    0.45549,    1.15000,    0.01860,    1.12419,    1.15000,    0.00269,    0.34142,    1.15000,    0.01257,    0.55028
   1.17500,    0.00632,    0.47608,    1.17500,    0.02127,    1.11696,    1.17500,    0.01522,    0.26621,    1.17500,    0.00263,    0.42125
   1.20000,    0.00691,    0.56220,    1.20000,    0.00532,    1.10742,    1.20000,    0.00106,    0.19822,    1.20000,    0.01690,    0.32595
   1.22500,    0.00283,    0.63072,    1.22500,    0.01131,    1.06765,    1.22500,    0.02215,    0.16593,    1.22500,    0.01014,    0.22092
   1.25000,    0.00816,    0.62236,    1.25000,    0.00875,    1.00669,    1.25000,    0.00876,    0.12832,    1.25000,    0.01418,    0.08127
   1.27500,    0.00876,    0.55955,    1.27500,    0.01902,    0.94723,    1.27500,    0.03028,    0.08053,    1.27500,    0.01206,    0.09425
   1.30000,    0.01144,    0.46774,    1.30000,    0.00773,    0.85197,    1.30000,    0.00706,    0.15226,    1.30000,    0.00485,    0.21223
   1.32500,    0.00776,    0.37180,    1.32500,    0.01401,    0.68961,    1.32500,    0.00437,    0.27376,    1.32500,    0.00549,    0.31873
   1.35000,    0.00833,    0.28565,    1.35000,    0.01613,    0.51818,    1.35000,    0.01775,    0.35801,    1.35000,    0.00196,    0.37119
   1.37500,    0.02782,    0.13735,    1.37500,    0.00695,    0.37968,    1.37500,    0.01645,    0.48938,    1.37500,    0.00527,    0.42068
   1.40000,    0.01507,    0.05649,    1.40000,    0.00732,    0.21033,    1.40000,    0.01103,    0.58726,    1.40000,    0.00400,    0.50409
   1.42500,    0.01072,    0.23700,    1.42500,    0.01382,    0.05249,    1.42500,    0.02433,    0.62174,    1.42500,    0.00947,    0.59168
   1.45000,    0.01127,    0.40579,    1.45000,    0.01177,    0.15513,    1.45000,    0.01333,    0.63349,    1.45000,    0.00799,    0.63359
   1.47500,    0.01128,    0.53133,    1.47500,    0.00950,    0.32746,    1.47500,    0.00695,    0.60107,    1.47500,    0.01753,    0.67172
   1.50000,    0.01064,    0.60309,    1.50000,    0.00454,    0.47673,    1.50000,    0.00569,    0.53391,    1.50000,    0.02106,    0.64347
   1.52500,    0.00368,    0.64008,    1.52500,    0.01866,    0.60699,    1.52500,    0.01244,    0.41990,    1.52500,    0.00935,    0.60544
   1.55000,    0.00349,    0.61811,    1.55000,    0.01860,    0.72865,    1.55000,    0.00910,    0.29982,    1.55000,    0.00912,    0.52632
   1.57500,    0.00740,    0.55508,    1.57500,    0.01466,    0.76003,    1.57500,    0.01370,    0.22402,    1.57500,    0.00833,    0.43894
   1.60000,    0.00359,    0.46834,    1.60000,    0.01175,    0.77054,    1.60000,    0.01327,    0.17588,    1.60000,    0.02607,    0.37132
   1.62500,    0.00693,    0.40420,    1.62500,    0.00418,    0.74249,    1.62500,    0.00435,    0.18182,    1.62500,    0.00685,    0.35638
   1.65000,    0.01403,    0.33043,    1.65000,    0.00186,    0.66976,    1.65000,    0.02206,    0.17147,    1.65000,    0.00451,    0.28229
   1.67500,    0.00603,    0.20358,    1.67500,    0.00456,    0.60230,    1.67500,    0.00590,    0.17672,    1.67500,    0.01319,    0.23719
   1.70000,    0.01174,    0.12713,    1.70000,    0.00809,    0.53501,    1.70000,    0.00836,    0.20407,    1.70000,    0.02201,    0.24556
   1.72500,    0.00490,    0.07863,    1.72500,    0.01521,    0.44211,    1.72500,    0.02080,    0.18585,    1.72500,    0.02693,    0.27486
   1.75000,    0.00770,    0.01882,    1.75000,    0.00746,    0.33375,    1.75000,    0.00252,    0.20489,    1.75000,    0.00898,    0.34391
   1.77500,    0.00993,    0.03291,    1.77500,    0.00609,    0.22592,    1.77500,    0.00745,    0.21635,    1.77500,    0.00661,    0.39026
   1.80000,    0.02382,    0.03888,    1.80000,    0.01467,    0.10873,    1.80000,    0.01621,    0.24247,    1.80000,    0.00462,    0.41953
   1.82500,    0.01998,    0.09603,    1.82500,    0.01781,    0.07200,    1.82500,    0.00778,    0.26097,    1.82500,    0.01805,    0.42952
   1.85000,    0.00628,    0.16043,    1.85000,    0.00401,    0.10898,    1.85000,    0.01110,    0.25636,    1.85000,    0.00368,    0.44851
   1.87500,    0.00359,    0.21078,    1.87500,    0.01349,    0.16433,    1.87500,    0.01726,    0.23574,    1.87500,    0.00703,    0.44469
   1.90000,    0.01789,    0.23941,    1.90000,    0.00448,    0.21971,    1.90000,    0.00700,    0.20949,    1.90000,    0.01471,    0.41548
