# stars45degtime,stars45degm1,stars45degm2,stars45degm3,stars45degm4,stars90degtime,stars90degm1,stars90degm2,stars90degm3,stars90degm4,stars0degtime,stars0degm1,stars0degm2,stars0degm3,stars0degm4,stars0deg_retrotime,stars0deg_retrom1,stars0deg_retrom2,stars0deg_retrom3,stars0deg_retrom4
   0.00000,    0.01971,    0.07444,    0.01904,    0.02114,    0.00000,    0.01970,    0.07444,    0.01904,    0.02115,    0.00000,    0.01970,    0.07444,    0.01904,    0.02115,    0.00000,    0.01970,    0.07444,    0.01904,    0.02115
   0.02500,    0.02468,    0.08814,    0.01549,    0.01695,    0.02500,    0.02582,    0.08826,    0.01530,    0.01680,    0.02500,    0.02557,    0.08842,    0.01515,    0.01722,    0.02500,    0.02573,    0.08842,    0.01508,    0.01713
   0.05000,    0.01616,    0.09718,    0.02288,    0.01991,    0.05000,    0.01618,    0.09753,    0.02268,    0.01986,    0.05000,    0.01694,    0.09814,    0.02276,    0.02016,    0.05000,    0.01689,    0.09794,    0.02251,    0.02030
   0.07500,    0.01287,    0.11054,    0.01776,    0.01841,    0.07500,    0.01620,    0.11091,    0.01642,    0.01863,    0.07500,    0.01674,    0.11213,    0.01840,    0.01803,    0.07500,    0.01633,    0.11203,    0.01708,    0.01841
   0.10000,    0.01603,    0.11730,    0.01446,    0.01174,    0.10000,    0.01582,    0.11670,    0.01494,    0.01176,    0.10000,    0.01658,    0.11854,    0.01555,    0.01229,    0.10000,    0.01600,    0.11718,    0.01534,    0.01180
   0.12500,    0.01735,    0.11923,    0.01458,    0.02126,    0.12500,    0.01870,    0.11653,    0.01606,    0.02158,    0.12500,    0.01728,    0.11592,    0.01528,    0.02163,    0.12500,    0.01693,    0.11382,    0.01577,    0.02114
   0.15000,    0.01791,    0.12021,    0.01890,    0.02951,    0.15000,    0.02341,    0.11696,    0.02053,    0.02867,    0.15000,    0.01786,    0.10738,    0.01692,    0.02780,    0.15000,    0.01709,    0.11229,    0.01862,    0.02830
   0.17500,    0.01556,    0.11685,    0.02517,    0.03146,    0.17500,    0.04376,    0.10582,    0.03216,    0.03352,    0.17500,    0.05018,    0.08316,    0.03521,    0.03483,    0.17500,    0.04702,    0.12728,    0.04262,    0.03913
   0.20000,    0.10101,    0.06877,    0.03880,    0.02896,    0.20000,    0.25682,    0.10435,    0.09436,    0.05625,    0.20000,    0.25851,    0.14800,    0.10584,    0.06770,    0.20000,    0.27167,    0.09368,    0.09142,    0.05851
   0.22500,    0.35781,    0.18938,    0.13179,    0.09722,    0.22500,    0.47613,    0.28663,    0.14887,    0.11283,    0.22500,    0.40473,    0.24012,    0.10922,    0.10148,    0.22500,    0.47776,    0.24394,    0.16381,    0.13644
   0.25000,    0.47481,    0.29205,    0.15111,    0.09954,    0.25000,    0.53272,    0.39806,    0.29880,    0.17216,    0.25000,    0.42360,    0.25324,    0.11772,    0.08049,    0.25000,    0.53919,    0.28164,    0.20618,    0.21325
