# stars45degtime,stars45degbarDist,stars45degdiskDist,stars90degtime,stars90degbarDist,stars90degdiskDist,stars0degtime,stars0degbarDist,stars0degdiskDist,stars0deg_retrotime,stars0deg_retrobarDist,stars0deg_retrodiskDist
   0.00000,    0.02006,    0.03784,    0.00000,    0.01885,    0.03665,    0.00000,    0.01773,    0.03563,    0.00000,    0.01953,    0.03736
   0.02500,    0.00604,    0.04599,    0.02500,    0.00263,    0.05600,    0.02500,    0.00843,    0.05767,    0.02500,    0.00836,    0.06331
   0.05000,    0.04490,    0.04576,    0.05000,    0.06062,    0.03698,    0.05000,    0.05499,    0.04547,    0.05000,    0.04427,    0.04832
   0.07500,    0.08908,    0.03088,    0.07500,    0.07109,    0.02950,    0.07500,    0.08307,    0.01668,    0.07500,    0.07649,    0.02909
   0.10000,    0.01317,    0.03147,    0.10000,    0.04114,    0.01718,    0.10000,    0.02315,    0.02546,    0.10000,    0.02747,    0.03111
   0.12500,    0.00810,    0.03599,    0.12500,    0.02995,    0.02514,    0.12500,    0.02787,    0.03439,    0.12500,    0.03196,    0.03702
   0.15000,    0.04840,    0.03364,    0.15000,    0.07406,    0.05236,    0.15000,    0.04929,    0.03131,    0.15000,    0.03083,    0.03018
   0.17500,    0.05359,    0.05949,    0.17500,    0.04657,    0.16542,    0.17500,    0.06826,    0.14913,    0.17500,    0.04495,    0.20309
   0.20000,    0.00796,    0.30872,    0.20000,    0.01777,    0.77040,    0.20000,    0.05973,    0.78481,    0.20000,    0.03204,    0.79528
   0.22500,    0.03166,    1.06496,    0.22500,    0.02291,    1.54521,    0.22500,    0.03583,    1.27597,    0.22500,    0.03786,    1.40413
   0.25000,    0.08478,    1.56467,    0.25000,    0.18501,    1.98993,    0.25000,    0.03223,    1.37888,    0.25000,    0.04177,    1.67298
   0.27500,    0.02408,    1.61842,    0.27500,    0.12395,    2.12109,    0.27500,    0.03435,    1.34347,    0.27500,    0.06529,    1.57388
   0.30000,    0.05243,    1.39752,    0.30000,    0.10058,    2.03794,    0.30000,    0.02395,    1.19669,    0.30000,    0.06832,    1.18172
   0.32500,    0.12026,    1.34456,    0.32500,    0.06471,    2.05874,    0.32500,    0.07392,    1.07293,    0.32500,    0.06525,    0.79643
   0.35000,    0.05576,    1.41472,    0.35000,    0.04988,    2.14634,    0.35000,    0.04117,    0.85847,    0.35000,    0.02346,    0.47239
   0.37500,    0.06347,    1.42286,    0.37500,    0.09165,    2.10329,    0.37500,    0.07371,    0.56284,    0.37500,    0.11450,    0.29351
   0.40000,    0.06685,    1.15805,    0.40000,    0.09076,    1.93747,    0.40000,    0.09355,    0.29906,    0.40000,    0.08534,    0.25982
   0.42500,    0.05951,    0.65313,    0.42500,    0.09963,    1.69092,    0.42500,    0.01373,    0.10865,    0.42500,    0.07100,    0.41270
   0.45000,    0.07029,    0.27412,    0.45000,    0.02441,    1.16901,    0.45000,    0.03523,    0.31816,    0.45000,    0.04092,    0.56749
   0.47500,    0.08724,    0.13841,    0.47500,    0.06805,    0.54228,    0.47500,    0.11213,    0.49533,    0.47500,    0.03488,    0.65018
   0.50000,    0.06600,    0.31204,    0.50000,    0.03489,    0.06620,    0.50000,    0.17204,    0.64030,    0.50000,    0.07290,    0.54100
