Date,Events,Births,Deaths,Holidays
2016-01-01,156,327,115,33
2016-01-02,39,201,91,24
2016-01-03,51,186,109,9
2016-01-04,44,226,123,11
2016-01-05,37,191,105,12
2016-01-06,48,260,112,12
2016-01-07,43,217,110,17
2016-01-08,51,252,132,17
2016-01-09,52,211,113,10
2016-01-10,41,245,135,9
2016-01-11,87,244,101,22
2016-01-12,47,211,97,10
2016-01-13,51,249,105,14
2016-01-14,46,231,99,13
2016-01-15,44,244,104,10
2016-01-16,39,190,108,12
2016-01-17,65,264,91,14
2016-01-18,48,234,103,17
2016-01-19,61,225,104,14
2016-01-20,45,237,108,15
2016-01-21,55,234,105,22
2016-01-22,45,205,115,8
2016-01-23,42,236,95,6
2016-01-24,58,199,96,16
2016-01-25,49,260,108,13
2016-01-26,46,229,102,13
2016-01-27,37,214,118,12
2016-01-28,40,254,102,19
2016-01-29,52,259,107,11
2016-01-30,55,186,82,20
2016-01-31,55,219,102,9
2016-02-01,58,207,87,17
2016-02-02,47,220,117,22
2016-02-03,57,178,87,19
2016-02-04,47,146,78,11
2016-02-05,47,249,81,11
2016-02-06,42,269,94,11
2016-02-07,42,173,65,8
2016-02-08,60,166,88,11
2016-02-09,41,185,76,10
2016-02-10,38,177,79,7
2016-02-11,52,180,93,16
2016-02-12,50,192,88,13
2016-02-13,49,216,111,10
2016-02-14,67,182,86,9
2016-02-15,50,188,82,20
2016-02-16,46,158,69,8
2016-02-17,45,171,77,9
2016-02-18,50,187,88,11
2016-02-19,41,172,75,9
2016-02-20,54,163,76,8
2016-02-21,40,155,70,10
2016-02-22,50,178,85,10
2016-02-23,57,135,70,10
2016-02-24,50,160,77,12
2016-02-25,46,192,105,15
2016-02-26,33,178,84,10
2016-02-27,58,197,72,13
2016-02-28,57,205,79,16
2016-02-29,35,109,56,7
2016-03-01,97,189,81,26
2016-03-02,62,202,79,12
2016-03-03,58,187,85,11
2016-03-04,65,464,171,10
2016-03-05,44,271,92,9
2016-03-06,44,208,108,11
2016-03-07,34,180,69,7
2016-03-08,48,200,84,10
2016-03-09,43,192,81,7
2016-03-10,37,206,83,13
2016-03-11,47,251,102,11
2016-03-12,45,261,102,15
2016-03-13,43,201,99,12
2016-03-14,40,225,81,10
2016-03-15,50,238,96,15
2016-03-16,60,247,105,6
2016-03-17,44,206,96,10
2016-03-18,56,253,80,12
2016-03-19,46,211,92,10
2016-03-20,43,254,94,33
2016-03-21,50,263,104,22
2016-03-22,45,237,105,12
2016-03-23,47,263,99,13
2016-03-24,46,271,96,11
