Name,Pop,Change
ABBOTSFORD,2289,0.0000
APPLETON,73737,0.0159
ASHLAND,8103,0.0138
BAYSIDE,4376,0.0080
BELLEVILLE,2390,0.0217
BERLIN,5542,0.0246
BIRNAMWOOD,812,0.0104
BLANCHARDVILLE,822,0.0046
BRODHEAD,3285,-0.0568
BROOKLYN,1417,0.0022
BURLINGTON,10603,0.0497
CAMBRIDGE,1464,0.1104
CAZENOVIA,320,-0.1346
COLBY,1830,-0.0508
COLUMBUS,5042,0.0133
CUBA CITY,2091,0.0095
DE SOTO,286,-0.0000
DORCHESTER,874,-0.0000
EAU CLAIRE,67006,0.0094
EDGERTON,5521,0.0258
GENOA CITY,3051,-0.0023
HARRISON,10323,0.0197
HARTFORD,14403,-0.0044
HAZEL GREEN,1271,0.1469
HOWARD,18901,0.0308
KAUKAUNA,15848,0.0167
KEWASKUM,4017,0.0445
KIEL,3768,0.0121
LAC LA BELLE,291,0.0100
LIVINGSTON,663,-0.0000
MARION,1255,0.0000
MARSHFIELD,19186,0.0198
MENASHA,17633,0.0090
MILLADORE,277,0.0465
MILWAUKEE,595787,0.0024
MONTFORT,725,0.0756
MUKWONAGO,7629,0.0484
MUSCODA,1264,0.0218
NEW AUBURN,550,0.0000
NEW LONDON,7301,0.0463
NEWBURG,1242,0.0000
ONTARIO,552,0.0592
PEWAUKEE,8138,0.0076
PEWAUKEE,13843,0.0165
PULASKI,3519,-0.0072
RANDOLPH,1805,0.0000
RIVER FALLS,15180,0.0486
ROCKLAND,614,0.1128
SPRING VALLEY,1368,0.0013
STANLEY,3563,0.0026
SUPERIOR,27927,0.0561
TURTLE LAKE,1046,-0.0000
UNITY,338,0.0300
VIOLA,703,-0.0000
WATERTOWN,23864,0.0205
WAUPUN,11540,0.0150
WHITEWATER,14579,0.0235
WISCONSIN DELLS,2670,0.0177
WRIGHTSTOWN,2844,0.0477
ADAMS,1940,0.0072
ADELL,514,-0.0026
ALBANY,1012,0.0735
ALGOMA,3155,0.0687
ALLOUEZ,13790,0.0143
ALMA,786,0.1338
ALMA CENTER,509,0.0536
ALMENA,658,-0.0000
ALMOND,445,0.3368
ALTOONA,7200,0.0106
AMERY,2917,0.0445
AMHERST,1047,0.2118
AMHERST JUNCTION,374,0.0000
ANIWA,253,-0.0000
ANTIGO,8120,0.0192
ARCADIA,3021,0.0014
ARENA,827,0.1685
ARGYLE,853,0.1078
ARLINGTON,825,0.0342
ARPIN,327,0.0052
ASHWAUBENON,16940,0.0281
ATHENS,1105,-0.0000
AUBURNDALE,707,0.0017
AUGUSTA,1541,0.0483
AVOCA,631,-0.0014
BAGLEY,378,1.4178
BALDWIN,3964,0.0155
BALSAM LAKE,1034,-0.0062
BANGOR,1485,-0.0142
BARABOO,12023,0.0167
BARNEVELD,1235,0.0551
BARRON,3365,0.0052
BAY CITY,499,0.0033
BAYFIELD,481,0.0014
BEAR CREEK,450,0.2331
BEAVER DAM,16693,0.0205
BELGIUM,2273,0.1193
BELL CENTER,116,0.0015
BELLEVUE,15047,0.0046
BELMONT,991,0.1111
BELOIT,36792,0.0096
BENTON,966,0.0848
BIG BEND,1296,-0.0098
BIG FALLS,57,0.0000
BIRCHWOOD,436,0.0087
BIRON,829,0.0035
BLACK CREEK,1321,0.0838
BLACK EARTH,1368,-0.0061
BLACK RIVER FALLS,3642,0.0329
BLAIR,1372,0.0030
BLOOMER,3560,-0.0000
BLOOMFIELD,4685,0.3751
BLOOMINGTON,741,0.0011
BLUE MOUNDS,920,0.0845
BLUE RIVER,435,0.0022
BOAZ,156,0.0001
BONDUEL,1483,0.0009
BOSCOBEL,3238,0.0200
BOWLER,292,0.0063
BOYCEVILLE,1089,-0.0495
BOYD,547,0.0016
BRANDON,873,0.0134
BRILLION,3211,0.0502
BRISTOL,4972,0.0094
BROKAW,243,-0.1124
BROOKFIELD,37859,0.0052
BROWN DEER,12217,0.0129
BROWNSVILLE,589,0.0151
BROWNTOWN,281,0.3178
BRUCE,773,0.3857
BUFFALO CITY,1013,0.0089
BUTLER,1827,0.0000
BUTTERNUT,369,0.0859
CADOTT,1451,0.0061
CALEDONIA,24918,0.0155
CAMBRIA,765,0.0148
CAMERON,1822,0.0215
CAMP DOUGLAS,607,0.0000
CAMPBELLSPORT,2010,-0.0169
CASCADE,698,0.0070
CASCO,590,0.0208
CASHTON,1094,0.0095
CASSVILLE,945,0.0377
CATAWBA,103,-0.0000
CECIL,556,0.0003
CEDAR GROVE,2099,0.0500
CEDARBURG,11500,0.0110
CENTURIA,941,0.0128
CHASEBURG,291,0.0208
CHENEQUA,588,0.1558
CHETEK,2226,0.0048
CHILTON,3909,0.0133
CHIPPEWA FALLS,13830,0.0399
CLAYTON,569,0.0136
CLEAR LAKE,1066,-0.0031
CLEVELAND,1519,0.0040
CLINTON,2121,-0.1243
CLINTONVILLE,4527,0.0022
CLYMAN,421,0.0119
COBB,465,0.0027
COCHRANE,447,0.0022
COLEMAN,724,0.0139
COLFAX,1126,0.0000
COLOMA,458,-0.0298
COMBINED LOCKS,3477,0.0019
CONRATH,94,-0.0003
COON VALLEY,763,-0.0092
CORNELL,1475,0.0142
COTTAGE GROVE,6512,0.0440
COUDERAY,87,-0.0185
CRANDON,1866,0.0051
CRIVITZ,961,0.0202
CROSS PLAINS,3696,-0.0058
CUDAHY,18250,0.0310
CUMBERLAND,2175,0.1094
CURTISS,213,-0.0000
DALLAS,390,0.0000
DANE,1067,0.0622
DARIEN,1591,0.0076
DARLINGTON,2424,0.0773
DE PERE,24447,0.0309
